video_id,title,duration_seconds,duration_minutes,total_frames,frames_per_minute,unique_topics_count,topic_density,avg_description_length,total_description_length,description_variance,scene_changes,scene_change_rate,frame_interval,topics_json,key_topics,has_image,has_white,has_scene,has_black,has_boat,has_The image depicts a scene from a commercial for Pringles potato chips. The setting is a kitchen,has_ The image shows...,has_ including a stove,has_ a refrigerator,has_potato,has_ suggesting a cozy and intimate atmosphere. The kitchen is equipped with various appliances,has_ and a microwave. There are several people in the kitchen,has_ there is a group of people standing around a table. On the table are several containers of Pringles potato chips,"has_ all of whom are engaged in different activities.

In the foreground",has_ which is dimly lit,has_people,has_pringles,has_idefics3forconditionalgeneration.__init__(),has_error,has_Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype',topic_diversity
5a4fdf0b-47e6-431e-ab9b-c3cbc86f758f,Rahul Motorcycle,7,0.11666666666666667,4,34.285714285714285,6,51.42857142857143,110.0,440,0.0,0,0.0,2,"[""idefics3forconditionalgeneration.__init__()"", ""error"", ""Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype'"", ""unexpected"", ""frame:"", ""processing""]",Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype' Error processing frame: Idefics3ForConditionalGeneration.__init__() got an unexpected keyword argument 'dtype',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6
270fc51d-7d3d-4a62-b344-060161673c76,Rahul Motorcycle,7,0.11666666666666667,4,34.285714285714285,10,85.71428571428571,404.75,1619,4185.1875,0,0.0,2,"["" wearing a helmet and a dark shirt. The motorcycle is parked on the street"", ""motorcycle"", "" also wearing a helmet and sunglasses. In the background"", "" and..."", ""parked"", "" there is a row of parked cars and a few houses. The sky is clear. A young man is getting ready to ride his motorcycle on the street. He is standing on the sidewalk next to the bike"", ""A young man is sitting on a black motorcycle on a sidewalk in front of a parked car. He is wearing a helmet and sunglasses. Another young man is standing on the sidewalk next to him"", ""helmet"", ""black"", ""wearing""]","A young man is sitting on a black motorcycle on a sidewalk in front of a parked car. He is wearing a helmet and sunglasses. Another young man is standing on the sidewalk next to him, also wearing a helmet and sunglasses. In the background, there is a row of parked cars and a few houses. The sky is clear. A young man is getting ready to ride his motorcycle on the street. He is standing on the sidewalk next to the bike, wearing a helmet and a dark shirt. The motorcycle is parked on the street, and...",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7c41af94-1325-4127-9856-3af8d29b4c50,iPhone Video,980,16.333333333333332,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45c9e79c-756d-4dd6-8e2e-79ee05c8d61a,Animation Video,29,0.48333333333333334,16,33.10344827586207,6,12.413793103448276,302.0,4832,32068.375,7,14.482758620689655,2,"[""image"", ""sail"", ""white"", ""boat"", ""The image is a simple black and white photograph. The photograph is a close-up of a person's face. The person is looking directly at the camera. The person's face is not very expressive. The person's eyes are open wide and their mouth is closed. The person's skin is pale. The person's hair is short and dark. The person's ears are small and pointed. The person's nose is small and straight. The person's lips are thin and slightly pursed. The A red car is parked on a sidewalk. A red car is parked o..."", ""person's""]",The image is a simple black and white photograph. The photograph is a close-up of a person's face. The person is looking directly at the camera. The person's face is not very expressive. The person's eyes are open wide and their mouth is closed. The person's skin is pale. The person's hair is short and dark. The person's ears are small and pointed. The person's nose is small and straight. The person's lips are thin and slightly pursed. The A red car is parked on a sidewalk. A red car is parked o...,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5f87be63-ded9-4c66-9999-cb91f482b5d7,Animation Video,29,0.48333333333333334,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ae2d2c7-5214-47f5-a2bf-23ec1032c8a1,TEST MODEL??,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
def38b70-d049-45f9-aeca-aa3388b425f0,TEST MODEL??,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfb6738f-99b9-4d54-a681-c9bdabc34e9d,TEST MODEL??,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35756d29-19ff-4311-bf0a-867e3f6b88e2,Model 123,0,0.0,16,0.0,9,0.0,319.9375,5119,31424.68359375,6,0.0,2,"["" with the light source coming from the windows on the left side of the image. The seats are arranged in a row"", ""image"", ""The image is a black background with no objects or text. A red car is parked on a street. A red car is driving down a street. The image depicts a scene inside a bus"", ""light"", "" with three people seated in the foreground. \n\nThe first person seated on the left side is a young woman with short white hair. She is wearing a pu..."", ""white"", ""boat"", "" likely during the evening or nighttime. The interior of the bus is dimly lit"", ""depicted""]","The image is a black background with no objects or text. A red car is parked on a street. A red car is driving down a street. The image depicts a scene inside a bus, likely during the evening or nighttime. The interior of the bus is dimly lit, with the light source coming from the windows on the left side of the image. The seats are arranged in a row, with three people seated in the foreground. 

The first person seated on the left side is a young woman with short white hair. She is wearing a pu...",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
680c9b0a-22cd-491a-9f24-fb47e2f5759d,Pringles Ad,30,0.5,16,32.0,14,28.0,392.25,6276,12259.8125,10,20.0,2,"[""The image depicts a scene from a commercial for Pringles potato chips. The setting is a kitchen"", "" The image shows..."", ""image"", "" including a stove"", "" a refrigerator"", ""potato"", "" suggesting a cozy and intimate atmosphere. The kitchen is equipped with various appliances"", ""scene"", "" and a microwave. There are several people in the kitchen"", "" there is a group of people standing around a table. On the table are several containers of Pringles potato chips"", "" all of whom are engaged in different activities.\n\nIn the foreground"", "" which is dimly lit"", ""people"", ""pringles""]","The image depicts a scene from a commercial for Pringles potato chips. The setting is a kitchen, which is dimly lit, suggesting a cozy and intimate atmosphere. The kitchen is equipped with various appliances, including a stove, a refrigerator, and a microwave. There are several people in the kitchen, all of whom are engaged in different activities.

In the foreground, there is a group of people standing around a table. On the table are several containers of Pringles potato chips, The image shows...",1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,14
4c2358e5-4a65-4b33-b23d-7f923f983787,Pringles Ad 2,30,0.5,16,32.0,14,28.0,391.0625,6257,12155.43359375,11,22.0,2,"[""The image depicts a scene from a commercial for Pringles potato chips. The setting is a kitchen"", "" The image shows..."", ""image"", "" including a stove"", "" a refrigerator"", ""potato"", "" suggesting a cozy and intimate atmosphere. The kitchen is equipped with various appliances"", ""scene"", "" and a microwave. There are several people in the kitchen"", "" there is a group of people standing around a table. On the table are several containers of Pringles potato chips"", "" all of whom are engaged in different activities.\n\nIn the foreground"", "" which is dimly lit"", ""people"", ""pringles""]","The image depicts a scene from a commercial for Pringles potato chips. The setting is a kitchen, which is dimly lit, suggesting a cozy and intimate atmosphere. The kitchen is equipped with various appliances, including a stove, a refrigerator, and a microwave. There are several people in the kitchen, all of whom are engaged in different activities.

In the foreground, there is a group of people standing around a table. On the table are several containers of Pringles potato chips, The image shows...",1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,14
5f2fbc22-dc9e-4046-87c2-48248d5a8919,Never Gonna Give You Up - Rick Astley [REIMAGINED],0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,5,[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aac1851d-f7f9-416e-8138-27bdb5aa0619,Coca-Cola | For Everyone :30,0,0.0,7,0.0,11,0.0,387.14285714285717,2710,20528.693877551024,2,0.0,5,"["" while the tilted can has a matte finish. The upright..."", ""image"", "" while the tilted can is positioned to the left of the upright can. Both cans are red and white in color"", ""glass"", ""bottle"", ""white"", "" reflective surface"", "" one of which is upright and the other is tilted to the side. The upright can is prominently displayed in the center of the image"", ""coca-cola"", ""A plastic bottle of Coca-Cola is shown with a red cap. The image depicts two Coca-Cola cans"", "" with the text \""Coca-Cola\"" prominently displayed in white on the front. The upright can has a shiny""]","A plastic bottle of Coca-Cola is shown with a red cap. The image depicts two Coca-Cola cans, one of which is upright and the other is tilted to the side. The upright can is prominently displayed in the center of the image, while the tilted can is positioned to the left of the upright can. Both cans are red and white in color, with the text ""Coca-Cola"" prominently displayed in white on the front. The upright can has a shiny, reflective surface, while the tilted can has a matte finish. The upright...",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
e1715818-3e71-4a2e-b666-dba002691803,,0,0.0,16,0.0,12,0.0,375.3125,6005,18180.21484375,5,0.0,5,"[""image"", "" which is part of the house where the movie is set. The hallway is well-lit"", "" portrayed by the actor Edgardo Saverin. The scene takes place in a hallway"", ""A man is walking down a hallway in a fancy restaurant. The image depicts a scene from the movie \""The Social Network"", ""scene"", "" with a warm"", ""white"", ""depicts"", "" inviting atmosphere.\n\nEduardo is standing in the center of the hallway"", "" facing the camera. He is wearing a plaid shirt with a white A white table with a silver f..."", ""black"", ""\"" specifically focusing on the character Eduardo Saverin""]","A man is walking down a hallway in a fancy restaurant. The image depicts a scene from the movie ""The Social Network,"" specifically focusing on the character Eduardo Saverin, portrayed by the actor Edgardo Saverin. The scene takes place in a hallway, which is part of the house where the movie is set. The hallway is well-lit, with a warm, inviting atmosphere.

Eduardo is standing in the center of the hallway, facing the camera. He is wearing a plaid shirt with a white A white table with a silver f...",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
